DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
03-04,Jamal Sampson,LAL,21.0,10.0,0.5,5.0,5.0,13.1,2.9,1.1,2.3,47.8,0.0,0.0,0.0,0.7,1.2,58.3,2.3,2.9,5.2,0.7,0.6,0.2,0.4,1.6,11.4,0.0,0.0,-2.4
03-04,Reggie Evans,SEA,24.0,75.0,0.44,33.0,42.0,17.1,2.9,0.9,2.2,40.6,0.0,0.0,0.0,1.1,2.0,56.1,2.1,3.4,5.4,0.4,0.9,0.7,0.1,2.3,11.8,0.0,0.0,-1.4
03-04,Derrick Dial,ORL,28.0,9.0,0.2222222222222222,2.0,7.0,9.2,2.9,1.0,3.1,32.1,0.2,1.0,22.2,0.7,0.9,75.0,0.6,0.9,1.4,0.2,0.1,0.7,0.0,0.7,6.8,0.0,0.0,1.4
03-04,Joel Przybilla,ATL,24.0,17.0,0.29411764705882354,5.0,12.0,20.3,2.9,1.1,2.9,36.0,0.0,0.0,0.0,0.8,1.8,41.9,1.9,4.6,6.5,0.4,1.1,0.3,1.0,3.1,14.2,0.0,0.0,-4.1
03-04,Travis Best,DAL,31.0,61.0,0.6229508196721312,38.0,23.0,12.5,2.8,1.0,2.8,37.2,0.0,0.3,15.0,0.7,0.8,87.0,0.3,0.8,1.1,1.8,0.5,0.5,0.1,1.1,8.1,0.0,0.0,2.0
03-04,Nikoloz Tskitishvili,DEN,21.0,39.0,0.5384615384615384,21.0,18.0,7.8,2.7,1.0,3.1,32.8,0.1,0.3,27.3,0.6,0.7,79.3,0.6,1.0,1.6,0.3,0.4,0.2,0.2,1.3,5.7,0.0,0.0,-1.1
03-04,Brandon Armstrong,NJN,24.0,56.0,0.5535714285714286,31.0,25.0,7.6,2.7,1.2,3.1,37.1,0.3,0.9,36.5,0.0,0.1,50.0,0.2,0.6,0.8,0.3,0.4,0.2,0.0,0.9,4.3,0.0,0.0,-2.2
03-04,Keith McLeod,MIN,24.0,33.0,0.6666666666666666,22.0,11.0,11.7,2.7,0.8,2.5,32.9,0.0,0.3,10.0,1.0,1.3,76.7,0.2,0.9,1.0,1.8,0.9,0.5,0.0,1.2,7.3,0.0,0.0,-2.0
03-04,Torraye Braggs,WAS,28.0,15.0,0.6666666666666666,10.0,5.0,10.0,2.7,1.1,2.2,48.5,0.0,0.0,0.0,0.5,0.8,66.7,1.2,1.4,2.6,0.5,0.9,0.3,0.1,1.9,6.8,0.0,0.0,1.7
03-04,Vladimir Stepania,POR,28.0,42.0,0.40476190476190477,17.0,25.0,10.8,2.6,1.0,2.5,41.7,0.0,0.0,0.0,0.5,0.9,61.1,1.2,1.8,3.0,0.5,0.5,0.3,0.4,1.5,8.4,0.0,0.0,1.0
